Rank,Title,Year,URL
1,The Shawshank Redemption,1994,http://www.imdb.com/title/tt0111161/
2,The Godfather,1972,http://www.imdb.com/title/tt0068646/
3,The Godfather: Part II,1974,http://www.imdb.com/title/tt0071562/
4,The Dark Knight,2008,http://www.imdb.com/title/tt0468569/
5,12 Angry Men,1957,http://www.imdb.com/title/tt0050083/
6,Schindler's List,1993,http://www.imdb.com/title/tt0108052/
7,The Lord of the Rings: The Return of the King,2003,http://www.imdb.com/title/tt0167260/
8,Pulp Fiction,1994,http://www.imdb.com/title/tt0110912/
9,"The Good, the Bad and the Ugly",1966,http://www.imdb.com/title/tt0060196/
10,Fight Club,1999,http://www.imdb.com/title/tt0137523/